experiment,parameter,value,unit,pass
saffman,Re=1000_N=64_analyticSpeed,0.346573,m/s,
saffman,Re=1000_N=64_measuredSpeed,0.284185,m/s,
saffman,Re=1000_N=64_speedError,18.00,%,PASS
saffman,Re=1000_N=64_nondimSpeed,3.571179,,
saffman,Re=1000_N=128_analyticSpeed,0.346573,m/s,
saffman,Re=1000_N=128_measuredSpeed,0.286554,m/s,
saffman,Re=1000_N=128_speedError,17.32,%,PASS
saffman,Re=1000_N=128_nondimSpeed,3.600939,,
saffman,Re=1000_N=256_analyticSpeed,0.346573,m/s,
saffman,Re=1000_N=256_measuredSpeed,0.286572,m/s,
saffman,Re=1000_N=256_speedError,17.31,%,PASS
saffman,Re=1000_N=256_nondimSpeed,3.601167,,
saffman,Re=4500_N=64_analyticSpeed,0.346573,m/s,
saffman,Re=4500_N=64_measuredSpeed,0.284187,m/s,
saffman,Re=4500_N=64_speedError,18.00,%,PASS
saffman,Re=4500_N=64_nondimSpeed,3.571195,,
saffman,Re=4500_N=128_analyticSpeed,0.346573,m/s,
saffman,Re=4500_N=128_measuredSpeed,0.286556,m/s,
saffman,Re=4500_N=128_speedError,17.32,%,PASS
saffman,Re=4500_N=128_nondimSpeed,3.600971,,
saffman,Re=4500_N=256_analyticSpeed,0.346573,m/s,
saffman,Re=4500_N=256_measuredSpeed,0.286577,m/s,
saffman,Re=4500_N=256_speedError,17.31,%,PASS
saffman,Re=4500_N=256_nondimSpeed,3.601231,,
saffman,Re=10000_N=64_analyticSpeed,0.346573,m/s,
saffman,Re=10000_N=64_measuredSpeed,0.284187,m/s,
saffman,Re=10000_N=64_speedError,18.00,%,PASS
saffman,Re=10000_N=64_nondimSpeed,3.571197,,
saffman,Re=10000_N=128_analyticSpeed,0.346573,m/s,
saffman,Re=10000_N=128_measuredSpeed,0.286557,m/s,
saffman,Re=10000_N=128_speedError,17.32,%,PASS
saffman,Re=10000_N=128_nondimSpeed,3.600976,,
saffman,Re=10000_N=256_analyticSpeed,0.346573,m/s,
saffman,Re=10000_N=256_measuredSpeed,0.286578,m/s,
saffman,Re=10000_N=256_speedError,17.31,%,PASS
saffman,Re=10000_N=256_nondimSpeed,3.601241,,
wall,d=0.05_deflection,0.079362,m,EFFECT
wall,d=0.05_distOverSigma,0.42,,
wall,d=0.10_deflection,0.056242,m,EFFECT
wall,d=0.10_distOverSigma,0.83,,
wall,d=0.20_deflection,0.019463,m,EFFECT
wall,d=0.20_distOverSigma,1.67,,
wall,d=0.40_deflection,-0.000227,m,EFFECT
wall,d=0.40_distOverSigma,3.33,,
wall,d=0.80_deflection,0.000000,m,NONE
wall,d=0.80_distOverSigma,6.67,,
wall,d=1.50_deflection,0.000000,m,NONE
wall,d=1.50_distOverSigma,12.50,,
leapfrog,ratio=0.5_r1Change,0.007080,m,PASS
leapfrog,ratio=0.5_r2Change,-0.014160,m,
leapfrog,ratio=1_r1Change,0.014554,m,PASS
leapfrog,ratio=1_r2Change,-0.014554,m,
leapfrog,ratio=1.5_r1Change,0.022439,m,PASS
leapfrog,ratio=1.5_r2Change,-0.014959,m,
leapfrog,ratio=2_r1Change,0.030750,m,PASS
leapfrog,ratio=2_r2Change,-0.015375,m,
breakdown,Re=500_coherenceDecay,0.00,%,
breakdown,Re=500_enstrophyDecay,0.994932,,
breakdown,Re=500_ekSlope,-1.8652,,
breakdown,Re=2000_coherenceDecay,0.00,%,
breakdown,Re=2000_enstrophyDecay,0.998731,,
breakdown,Re=2000_ekSlope,-1.8652,,
breakdown,Re=5000_coherenceDecay,0.00,%,
breakdown,Re=5000_enstrophyDecay,0.999492,,
breakdown,Re=5000_ekSlope,-1.8652,,
breakdown,Re=10000_coherenceDecay,0.00,%,
breakdown,Re=10000_enstrophyDecay,0.999746,,
breakdown,Re=10000_ekSlope,-1.8652,,
